Kids_First_Biospecimen_ID	count_regions_high_conf	count_regions_low_conf	any_high_conf	any_low_conf
BS_CGXTFM67	1	1	TRUE	TRUE
BS_CHAFNK64	0	0	FALSE	FALSE
BS_CK7CPM73	0	0	FALSE	FALSE
BS_CKY2TTXG	2	2	TRUE	TRUE
BS_CN7PB0DN	0	0	FALSE	FALSE
BS_CP435MAC	0	0	FALSE	FALSE
BS_CPYV7AHD	0	0	FALSE	FALSE
BS_CPZZR2R7	0	0	FALSE	FALSE
BS_CQ8C6X4X	0	0	FALSE	FALSE
BS_CRKBDAYZ	0	0	FALSE	FALSE
BS_CSY11X7E	0	0	FALSE	FALSE
BS_CWQ35N2K	0	0	FALSE	FALSE
BS_CXCKHP3Z	0	0	FALSE	FALSE
BS_CXDKK6KS	0	0	FALSE	FALSE
BS_CXN0498B	0	0	FALSE	FALSE
BS_D09VWF8H	0	0	FALSE	FALSE
BS_D2BZ25FW	0	0	FALSE	FALSE
BS_D368BNRD	1	1	TRUE	TRUE
BS_D3ZV6MMY	0	0	FALSE	FALSE
BS_D59VEERR	0	0	FALSE	FALSE
BS_D6XHKZDZ	0	0	FALSE	FALSE
BS_DAEM3WRX	1	1	TRUE	TRUE
BS_DC7XYYG8	0	0	FALSE	FALSE
BS_DGG7YE8R	0	0	FALSE	FALSE
BS_DH86PF5A	0	0	FALSE	FALSE
BS_DJEVCH34	0	0	FALSE	FALSE
BS_DMBNB0EP	0	0	FALSE	FALSE
BS_DT92H1MJ	0	0	FALSE	FALSE
BS_DVQYQSVW	0	0	FALSE	FALSE
BS_E0AAK0V0	0	0	FALSE	FALSE
BS_E0S2Y0TS	1	1	TRUE	TRUE
BS_E2RXQ3JW	0	0	FALSE	FALSE
BS_E42SSQGJ	0	0	FALSE	FALSE
BS_E5B2YZJH	0	0	FALSE	FALSE
BS_E5H6CFYT	0	0	FALSE	FALSE
BS_E7HEQZ1K	0	0	FALSE	FALSE
BS_E8SJ36A6	0	0	FALSE	FALSE
BS_E9ATGWME	2	2	TRUE	TRUE
BS_E9M7TDB6	1	1	TRUE	TRUE
BS_EDZCAHR2	0	0	FALSE	FALSE
BS_EFBBP9H3	0	0	FALSE	FALSE
BS_EHBH0NYX	0	0	FALSE	FALSE
BS_EJ1H9PZY	0	1	FALSE	TRUE
BS_EJV0N3BX	2	2	TRUE	TRUE
BS_EKR4NSNW	1	1	TRUE	TRUE
BS_EP25TTAG	1	1	TRUE	TRUE
BS_EPM623G4	0	0	FALSE	FALSE
BS_EQE19CB0	0	0	FALSE	FALSE
BS_ETTZM63Y	0	0	FALSE	FALSE
BS_EXTEGB51	0	0	FALSE	FALSE
BS_F064HMTP	0	0	FALSE	FALSE
BS_F0GNWEJJ	1	2	TRUE	TRUE
BS_F1B71HTZ	0	0	FALSE	FALSE
BS_F48RA7QF	0	0	FALSE	FALSE
BS_F4D169Q7	0	0	FALSE	FALSE
BS_F5641KTR	0	0	FALSE	FALSE
BS_F5KRHGKC	0	0	FALSE	FALSE
BS_F5V8CWXT	0	0	FALSE	FALSE
BS_F7KYPE79	0	0	FALSE	FALSE
BS_F8K4VQMF	0	0	FALSE	FALSE
BS_F8KR1QWE	2	3	TRUE	TRUE
BS_F969DNHD	0	0	FALSE	FALSE
